"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1COAR0071","BENNETT 11.3 SSW, CO US","39.5973","-104.468","1787.0","2018-07",,,,
"US1COJF0365","GOLDEN 2.1 SW, CO US","39.7197","-105.2472","2268.9","2018-07",,,,
"US1NMCB0001","MILAN 2.2 N, NM US","35.2206","-107.8897","1993.1","2018-07",,,,
"USC00294112","HOPE, NM US","32.80954","-104.73791","1245.1","2018-07","34.6",",,,7","18.4",",,,7"
"US1NMCB0005","GRANTS 1.0 W, NM US","35.1554","-107.8562","1979.1","2018-07",,,,
"USC00420336","ARCHES NATIONAL PARK HQS, UT US","38.6163","-109.6191","1247.5","2018-07","39.0",",,,7","24.1",",,,7"
"US1COLR1038","FORT COLLINS 5.6 NW, CO US","40.614","-105.1424","1558.1","2018-07",,,,
"US1COGF0060","GLENWOOD SPRINGS 2.7 SSE, CO US","39.5072","-107.3162","1812.6","2018-07",,,,
"USC00053116","FRASER, CO US","39.9425","-105.8172","2609.1","2018-07","26.3","2,,,7","3.3","3,,,7"
"US1COOR0002","OURAY .23 NNW, CO US","38.0259","-107.6724","2357.9","2018-07",,,,
"USC00054444","KARVAL, CO US","38.7411","-103.5427","1546.9","2018-07","31.2","1,,,7","14.7","1,,,7"
"US1AZYV0098","PRESCOTT 3.2 WSW, AZ US","34.5245","-112.5123","1770.3","2018-07",,,,
"US1NMDA0040","HATCH 6.9 ESE, NM US","32.6275","-107.0467","1235.0","2018-07",,,,
"US1NMDA0041","HATCH 7.2 ESE, NM US","32.6242","-107.0418","1250.9","2018-07",,,,
"US1AZYV0096","PRESCOTT 10.4 NNW, AZ US","34.6786","-112.5313","1563.3","2018-07",,,,
"USS0007K01S","NORTH LOST TRAIL, CO US","39.08","-107.14","2804.2","2018-07","24.8",",,,T","9.6",",,,T"
"USC00422996","FORT DUCHESNE, UT US","40.2841","-109.8611","1539.8","2018-07","35.8",",,,7","14.8",",,,7"
"USS0011J70S","CASCADE MOUNTAIN, UT US","40.28","-111.61","2369.5","2018-07","26.0",",,,T","15.8",",,,T"
"US1NMDA0045","LAS CRUCES 1.5 NNW, NM US","32.3584","-106.7623","1282.0","2018-07",,,,
"US1COSJ0004","SILVERTON 0.3 WSW, CO US","37.8083","-107.6693","2831.3","2018-07",,,,
"US1AZYV0092","PRESCOTT 8.5 NNW, AZ US","34.6546","-112.5122","1590.1","2018-07",,,,
"US1NMDA0046","LAS CRUCES 6.3 W, NM US","32.3206","-106.8624","1214.0","2018-07",,,,
"US1COBO0022","ALLENS PARK 1.5 ESE, CO US","40.1869","-105.5002","2577.1","2018-07",,,,
"USR0000CRDS","REDSTONE COLORADO, CO US","40.5708","-105.2264","1853.8","2018-07","27.9",",,,U","13.9",",,,U"
"USR0000AGUN","GUNSIGHT ARIZONA, AZ US","36.7044","-112.5833","1609.3","2018-07","34.9",",,,U","19.0",",,,U"
"USR0000AGUT","GUTHRIE ARIZONA, AZ US","32.8819","-109.3092","1097.3","2018-07","30.3",",,,U","19.1",",,,U"
"US1UTIR0005","CEDAR CITY 4.4 SW, UT US","37.6431","-113.1284","1738.9","2018-07",,,,
"US1COGF0077","RIFLE 0.5 ENE, CO US","39.5414","-107.7682","1704.7","2018-07",,,,
"US1COJF0354","WHEAT RIDGE 0.6 S, CO US","39.7654","-105.1005","1682.2","2018-07",,,,
"US1COAR0085","CENTENNIAL 5.5 E, CO US","39.5845","-104.764","1825.1","2018-07",,,,
"US1COLR1049","FORT COLLINS 0.3 SSE, CO US","40.551","-105.0664","1524.6","2018-07",,,,
"US1COGF0072","GLENWOOD SPRINGS 7.0 S, CO US","39.4438","-107.3166","2087.9","2018-07",,,,
"US1COLR1047","LOVELAND 3.8 WSW, CO US","40.3947","-105.1373","1558.7","2018-07",,,,
"USC00429165","WANSHIP DAM, UT US","40.7908","-111.4077","1810.5","2018-07","32.9",",,,7","11.4",",,,7"
"US1NMDA0050","LAS CRUCES 4.0 NNE, NM US","32.3877","-106.72","1335.9","2018-07",,,,
"US1COBO0030","BOULDER 1.9 SE, CO US","39.9915","-105.2403","1636.2","2018-07",,,,
"USS0007K02S","BURRO MOUNTAIN, CO US","39.88","-107.6","2865.1","2018-07","24.1",",,,T","9.9",",,,T"
"US1UTIR0011","CEDAR CITY 5.6 NW, UT US","37.7503","-113.1426","1677.9","2018-07",,,,
"USS0006J38S","LOST DOG, CO US","40.82","-106.75","2840.7","2018-07","23.4",",,,T","13.4",",,,T"
"US1UTIR0010","NEWCASTLE 0.6 SSW, UT US","37.6622","-113.5538","1617.3","2018-07",,,,
"USC00296754","PETROGLYPH NATIONAL MON, NM US","35.1391","-106.7108","1560.9","2018-07","34.5",",,,7","19.4",",,,7"
"USC00029464","WITTMANN 1 SE, AZ US","33.7776","-112.523","513.0","2018-07","41.0",",,,7","25.4",",,,7"
"US1COAR0099","AURORA 4.1 S, CO US","39.6693","-104.822","1730.0","2018-07",,,,
"US1COLR1017","LIVERMORE 12.2 NW, CO US","40.8656","-105.4067","2134.5","2018-07",,,,
"USC00052281","DILLON 1 E, CO US","39.6261","-106.0353","2763.0","2018-07","25.8",",,,7","3.9",",,,7"
"US1COLR1013","LOVELAND 1.7 SW, CO US","40.399","-105.0909","1526.4","2018-07",,,,
"USC00429133","VERNON, UT US","40.09595","-112.4357","1667.6","2018-07","33.5",",,,7","13.2",",,,7"
"USC00055795","BEULAH MPEC, CO US","38.0491","-104.996","2019.9","2018-07",,,,
"USC00291063","BLOOMFIELD 3 SE, NM US","36.6669","-107.9602","1769.7","2018-07","34.3",",,,7","18.7",",,,7"
